,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
2014,2014,Z543865,e6214abb-9e94-42fd-8b7f-cac0e7952367,Del Valle,TX,Travis,78617,30.14718,-97.59615,28558,Rural,America/Chicago,Holiday representative,8,46,Bachelor's Degree,Student,68557.22,Widowed,Male,No,13.01234304,10,0,1,No,One year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,No,Electronic Check,3.081551498,170.0354579,843.4262718,3,2,3,4,2,4,4,3
2015,2015,T400799,493082e5-5cdb-4f68-8f2f-c6bbca542dad,Alma,NY,Allegany,14708,42.01639,-78.06417,223,Rural,America/New_York,"Surveyor, insurance",NA,29,"Some College, 1 or More Years, No Degree",Full Time,NA,Married,Male,Yes,6.221773283,14,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,18.21559507,185.1782464,2710.705946,3,4,3,3,3,4,3,4
2016,2016,N765545,d8761cf6-08ee-4842-8061-675e7db223c5,Potosi,MO,Washington,63664,37.91252,-90.91973,9076,Rural,America/Chicago,Rural practice surveyor,5,55,Bachelor's Degree,Full Time,10315.72,Separated,Male,Yes,12.03568606,7,0,0,Yes,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Bank Transfer(automatic),14.80884708,171.3671802,2097.707886,3,3,3,2,4,2,3,2
2017,2017,G24522,38a03c48-9d47-4007-8f10-b7aacd912839,Harper,TX,Gillespie,78631,30.33775,-99.3053,2856,Rural,America/Chicago,"Scientist, audiological",4,86,Bachelor's Degree,Full Time,40783.52,Married,Female,Yes,35.53916942,10,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,3.151238828,273.3386759,970.5121325,5,5,4,3,3,4,5,4
2018,2018,C186329,c0634a79-4db9-4fb3-88fe-ac0a895e3df1,Hatch,NM,Do̱a Ana,87937,32.59983,-107.19132,2725,Suburban,America/Denver,"Psychologist, educational",3,26,Bachelor's Degree,Full Time,19920.22,Divorced,Female,Yes,9.445433803,15,2,0,NA,Month-to-month,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Mailed Check,16.81531747,230.0188825,2095.701636,4,3,4,3,6,1,2,2
2019,2019,O412041,ad588eaf-0143-43b9-bd4b-3c10a3c54bd0,Collegeville,MN,Stearns,56321,45.58037,-94.39316,1512,Urban,America/Chicago,IT consultant,NA,79,"Some College, 1 or More Years, No Degree",Retired,80176.6,Married,Female,Yes,12.12083499,16,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Electronic Check,1.954898722,254.1192803,655.8025029,3,3,3,4,4,2,3,3
2020,2020,O444965,9338bfb2-c87d-4d37-af29-c399d558708c,Renton,WA,King,98056,47.51287,-122.18958,35373,Rural,America/Los_Angeles,Estate agent,2,72,Master's Degree,Full Time,8803.4,Never Married,Male,No,11.49363986,8,0,2,NA,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Credit Card (automatic),5.111407994,191.5234593,722.0796766,4,4,4,4,3,4,3,4
2021,2021,A823740,9f6b140b-7d42-46d9-8273-8ef45ec2f647,Holly Ridge,NC,Onslow,28445,34.51049,-77.54668,7278,Urban,America/New_York,Housing manager/officer,1,NA,Regular High School Diploma,Full Time,76063.08,Widowed,Female,No,9.613641926,14,1,1,No,Two Year,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,No,No,Electronic Check,11.4205586,117.1675343,NA,6,6,5,3,3,5,4,5
2022,2022,S66397,0ce056b2-02ea-4943-861e-049adb4571b7,Johnstown,PA,Cambria,15909,40.40969,-78.87124,5184,Suburban,America/New_York,Energy engineer,1,45,Nursery School to 8th Grade,Full Time,50159.71,Never Married,Female,No,41.45424506,15,0,1,No,One year,Yes,No,DSL,NA,Yes,No,Yes,No,No,Yes,No,Yes,Credit Card (automatic),8.954465077,199.7705718,1551.718247,5,3,4,2,4,3,3,2
2023,2023,U289879,c01c89a5-7571-4453-a009-1519cde432de,Fort Worth,TX,Tarrant,76133,32.65393,-97.37723,51369,Urban,America/Chicago,"Designer, exhibition/display",NA,31,Regular High School Diploma,Full Time,29467.49,Separated,Prefer not to answer,No,38.37750032,7,2,0,NA,Two Year,No,No,DSL,Yes,No,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),NA,191.7301297,1411.701061,3,5,3,4,2,4,4,4
2024,2024,B471691,f9772167-8c7b-410e-9806-13aaf5c00092,Philadelphia,PA,Philadelphia,19122,39.97778,-75.14582,22187,Rural,America/New_York,Occupational hygienist,NA,20,Bachelor's Degree,Full Time,28790.92,Never Married,Female,No,6.801349285,12,2,0,Yes,Two Year,Yes,Yes,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,3.943221558,139.0455595,822.774438,5,5,6,4,4,3,5,3
2025,2025,F644052,4462c63b-49fa-4c8f-953d-1b14bf4740ad,Clearwater,FL,Pinellas,33755,27.97958,-82.77982,25445,Suburban,America/New_York,Clinical biochemist,3,80,Professional School Degree,Full Time,44485.5,Separated,Male,No,8.362287961,14,0,2,No,Two Year,Yes,No,DSL,Yes,No,No,No,Yes,No,No,No,No,Credit Card (automatic),10.47338461,103.4351769,1428.669992,3,3,3,4,3,3,3,3
2026,2026,D634003,85b3d011-d41d-4794-9475-26b13dc96f0b,Waldo,OH,Marion,43356,40.45818,-83.04716,1388,Rural,America/New_York,"Engineer, maintenance",6,NA,Regular High School Diploma,Full Time,40939.24,Widowed,Male,Yes,11.320092,13,2,1,No,Two Year,No,Yes,DSL,NA,Yes,No,No,Yes,NA,Yes,Yes,Yes,Electronic Check,4.77325109,231.8814744,1557.79907,3,4,4,3,4,1,2,3
2027,2027,M652188,6498c97b-82f5-48ae-8a80-5d081df65d90,Pinecrest,CA,Tuolumne,95364,38.21142,-119.81337,0,Suburban,America/Los_Angeles,Aid worker,NA,44,Regular High School Diploma,Full Time,61142.96,Never Married,Male,Yes,9.43303766,15,2,0,No,Month-to-month,No,No,DSL,No,Yes,No,No,Yes,NA,No,No,Yes,Credit Card (automatic),4.510318232,137.2730392,1068.481652,4,4,4,4,5,4,4,2
2028,2028,Q105645,e043c8da-c39f-4358-ae92-8b9ac732ef29,New York,NY,New York,10075,40.77335,-73.95622,21556,Rural,America/New_York,"Presenter, broadcasting",8,73,Master's Degree,Full Time,NA,Never Married,Female,Yes,9.469989781,9,0,2,NA,One year,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Mailed Check,3.843141866,167.3584312,1349.319824,4,4,4,3,4,3,4,4
2029,2029,G906721,51f0dae2-25c7-48b3-a2d1-0fced192aaa1,Hillsboro,WV,Pocahontas,24946,38.185,-80.26634,1448,Rural,America/New_York,Armed forces technical officer,1,45,Nursery School to 8th Grade,Full Time,74948.35,Separated,Male,Yes,12.22700462,11,2,1,No,One year,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,11.3846912,276.4026418,1731.015044,4,5,3,3,4,2,4,4
2030,2030,N451528,dc088195-55ef-4903-b3d9-70c95c54e2bf,Rochester,MI,Oakland,48309,42.65866,-83.18364,30125,Rural,America/Detroit,Academic librarian,NA,53,Regular High School Diploma,Full Time,45693.25,Married,Male,Yes,14.34936903,11,2,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Mailed Check,7.178731267,132.2836284,1421.45141,1,2,2,3,5,1,3,4
2031,2031,D154460,af195445-c421-40fe-b48a-9e0b04a39833,Petaluma,CA,Sonoma,94952,38.2346,-122.75895,36184,Urban,America/Los_Angeles,Special effects artist,3,20,Regular High School Diploma,Full Time,25686.47,Widowed,Male,No,9.785892665,6,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,No,Mailed Check,3.434965239,171.1387683,782.5670721,3,3,3,4,2,3,3,3
2032,2032,V524680,e9039af9-bf36-4811-a39f-537c56acc9e7,Salem,WV,Harrison,26426,39.28724,-80.56387,7751,Suburban,America/New_York,Race relations officer,NA,NA,"Some College, Less than 1 Year",Full Time,3640.46,Separated,Female,No,6.432409498,11,1,0,NA,Month-to-month,Yes,Yes,DSL,NA,No,No,No,No,Yes,No,No,No,Credit Card (automatic),11.9363948,105.559231,1399.828665,3,3,4,2,3,3,3,5
2033,2033,H154358,e0fd3fa9-bc2f-4db9-94ed-09b22dd210a9,Bellevue,NE,Sarpy,68123,41.10148,-95.94331,31990,Rural,America/Chicago,"Psychologist, prison and probation services",NA,28,Professional School Degree,Full Time,68631.52,Never Married,Female,No,6.480124865,10,1,2,No,Two Year,No,No,Fiber Optic,Yes,No,Yes,No,No,No,No,No,Yes,Electronic Check,NA,115.3062864,411.9057225,3,4,4,3,4,4,3,2
2034,2034,Y561275,a6af5584-0605-4d75-b46f-e59f8a649b43,Kansas City,KS,Wyandotte,66111,39.08385,-94.79515,9986,Suburban,America/Chicago,Pathologist,NA,68,Doctorate Degree,Full Time,55306.54,Separated,Male,No,8.740924386,13,3,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),4.600654519,159.8011165,733.0007061,4,3,4,3,5,2,3,3
2035,2035,O987448,7ae0c647-6858-4e42-a40e-3d86ede25519,West Boylston,MA,Worcester,1583,42.37025,-71.78499,7676,Suburban,America/New_York,Materials engineer,NA,18,Master's Degree,Full Time,NA,Never Married,Male,Yes,10.48554973,14,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,Credit Card (automatic),7.376158405,151.4583682,1669.828557,3,4,3,3,3,3,3,2
2036,2036,V540593,fb3fafe4-3e84-4dd0-be9e-44ac0bb0b2b3,Washington,IL,Tazewell,61571,40.70343,-89.41943,24974,Urban,America/Chicago,"Restaurant manager, fast food",NA,82,Regular High School Diploma,Unemployed,98366.83,Separated,Female,No,6.809729668,13,0,0,NA,Two Year,Yes,No,None,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Electronic Check,4.573172402,150.9579498,939.7724617,4,5,4,4,3,4,4,4
2037,2037,Q955462,7c23ccc4-d74c-488b-b266-7e509cf8859e,Anchorage,AK,Anchorage,99517,61.19019,-149.9371,16405,Urban,America/Anchorage,"Horticulturist, commercial",0,28,Associate's Degree,Part Time,10533.21,Married,Male,Yes,12.11001919,12,1,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),7.231406881,149.7289473,1388.550492,2,3,2,4,3,3,4,2
2038,2038,J898084,4533b22f-5d66-4fb1-83ab-1a83c04b7ab6,Pattison,MS,Copiah,39144,31.83048,-90.80474,786,Urban,America/Chicago,"Engineer, automotive",0,29,Nursery School to 8th Grade,Unemployed,68487.6,Separated,Female,Yes,39.74725381,11,3,0,No,One year,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Credit Card (automatic),9.841060016,241.7750116,1501.582551,5,4,6,3,4,3,4,3
2039,2039,E15840,45d8fd72-407b-4d82-be73-08a948f4bf2e,Lexington,KY,Fayette,40506,38.02821,-84.50319,2544,Suburban,America/New_York,"Nurse, children's",NA,NA,Associate's Degree,Student,10879.84,Married,Female,No,7.987596182,12,0,0,No,Month-to-month,No,No,None,Yes,No,No,No,No,No,Yes,No,Yes,Mailed Check,6.204958135,104.735161,717.4865643,4,4,3,3,5,2,5,6
2040,2040,Y616166,01a2435e-801f-4658-aab1-a8fd3d473928,Minerva,OH,Stark,44657,40.74116,-81.09302,9583,Urban,America/New_York,Sports therapist,4,67,Associate's Degree,Full Time,29149.35,Widowed,Female,No,8.132357405,10,1,0,NA,Two Year,No,No,Fiber Optic,Yes,No,No,Yes,Yes,NA,Yes,No,Yes,Mailed Check,8.962444068,171.4724907,1172.296779,3,3,3,3,5,2,4,4
2041,2041,D984586,4270df1f-cc35-43fb-ab1e-c2847211ca68,Arlington Heights,IL,Cook,60005,42.06394,-87.98568,29539,Suburban,America/Chicago,Public house manager,NA,28,"Some College, 1 or More Years, No Degree",Retired,20185.24,Never Married,Male,No,10.67840125,6,0,0,No,Month-to-month,Yes,No,Fiber Optic,NA,No,No,Yes,No,No,Yes,No,Yes,Mailed Check,23.24674752,159.7813293,2309.357899,3,4,2,4,4,4,3,3
2042,2042,X53693,a4597707-ca85-4bfc-8965-daf153b2f282,Oak Creek,CO,Routt,80467,40.25315,-106.86992,2145,Urban,America/Denver,Chiropodist,1,84,"9th Grade to 12th Grade, No Diploma",Unemployed,43121.53,Divorced,Male,No,14.36078946,12,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,Bank Transfer(automatic),8.716734942,145.9834332,783.3606694,4,4,5,5,3,4,4,4
2043,2043,T06917,6d5a6e3b-c4e9-4db8-8c45-8088da686419,Dennis Port,MA,Barnstable,2639,41.66634,-70.13529,3160,Urban,America/New_York,Printmaker,NA,68,Regular High School Diploma,Full Time,53952.59,Separated,Male,Yes,10.78468517,7,1,0,No,Two Year,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Electronic Check,11.71454409,277.4119053,NA,4,4,3,4,5,3,2,3
2044,2044,Q81623,f285c037-84f3-4166-8072-c9be489ec68d,Cary,IL,McHenry,60013,42.22038,-88.23584,25827,Urban,America/Chicago,Clinical cytogeneticist,NA,NA,Regular High School Diploma,Full Time,37794.12,Widowed,Female,Yes,6.760918107,12,0,1,No,Month-to-month,Yes,No,DSL,NA,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,3.087990291,159.3611779,884.8222735,4,5,3,5,2,4,4,7
2045,2045,G548369,c9bdc6f6-b7e7-4896-9328-f7bd1874ea10,Highmount,NY,Ulster,12441,42.1354,-74.50854,68,Suburban,America/New_York,"Scientist, product/process development",NA,21,Master's Degree,Student,101907.77,Married,Female,Yes,9.109304161,11,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,2.051001716,242.2385188,845.0925039,5,4,4,5,1,5,5,2
2046,2046,Y704877,ffd332fd-427c-4e36-aebf-08dd2a745f6f,Gibson,MO,Dunklin,63847,36.43996,-90.03892,195,Rural,America/Chicago,"Therapist, sports",1,44,Regular High School Diploma,Part Time,24218.05,Never Married,Female,No,7.639730847,12,2,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,No,Electronic Check,25.1747814,159.3849687,2341.106117,4,4,3,3,5,4,4,3
2047,2047,O410610,c1c409c8-a4c8-4e37-9399-ceb6290ea4c2,Elizabethtown,PA,Lancaster,17022,40.16633,-76.60865,30556,Urban,America/New_York,Science writer,0,54,Bachelor's Degree,Student,32075.69,Separated,Male,Yes,11.98457117,10,0,0,Yes,Month-to-month,Yes,Yes,Fiber Optic,NA,No,Yes,Yes,Yes,No,Yes,No,Yes,Electronic Check,NA,175.480659,2077.919709,6,5,3,3,4,2,3,3
2048,2048,U71984,b82d03a3-e8bf-421d-aa6e-5204e9cea9eb,Concord,NC,Cabarrus,28025,35.38041,-80.5279,54829,Rural,America/New_York,Television production assistant,0,30,Associate's Degree,Student,12429.48,Married,Male,No,14.10331385,16,0,2,No,Two Year,Yes,No,DSL,No,No,No,No,Yes,NA,No,Yes,Yes,Credit Card (automatic),6.645140984,154.7608082,NA,2,2,3,5,4,3,3,4
2049,2049,E449403,546e3c06-e579-4a77-959f-d4fdf3aea5d4,Saint Paul,MN,Ramsey,55105,44.9346,-93.16817,26729,Suburban,America/Chicago,"Engineer, structural",NA,48,"9th Grade to 12th Grade, No Diploma",Full Time,39939.55,Widowed,Male,No,12.83147954,11,2,1,No,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,No,Credit Card (automatic),7.793232084,118.0617185,1297.061633,3,3,4,3,4,3,2,3
2050,2050,X633473,acc2b165-d3d0-4024-a976-775a408aee0b,Glenshaw,PA,Allegheny,15116,40.53909,-79.95045,14267,Rural,America/New_York,Information officer,1,NA,Regular High School Diploma,Unemployed,34531.07,Widowed,Female,Yes,9.58686378,9,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,No,Bank Transfer(automatic),13.3759551,228.9529765,1670.352435,4,3,4,3,2,4,4,4
2051,2051,A260461,2d3180b1-cb5b-4391-9011-973de2104542,Celina,TX,Collin,75009,33.34028,-96.75033,11941,Suburban,America/Chicago,"Scientist, research (maths)",4,60,"Some College, Less than 1 Year",Unemployed,NA,Married,Female,Yes,17.62711957,13,1,0,NA,Month-to-month,No,Yes,DSL,No,Yes,No,No,No,Yes,No,Yes,Yes,Credit Card (automatic),11.53520215,173.6117991,1680.552794,3,4,2,5,3,3,3,5
2052,2052,K578547,938772e3-ee0d-4585-81e3-05454fe13e16,Hurdle Mills,NC,Person,27541,36.26326,-79.08638,3718,Rural,America/New_York,Operational investment banker,0,50,"Some College, 1 or More Years, No Degree",Full Time,NA,Separated,Male,No,10.26173957,13,0,0,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,No,No,Credit Card (automatic),6.025693517,153.2364885,892.5309234,4,4,3,4,3,3,3,4
2053,2053,S258368,d807731c-8fb1-4be9-b904-ff7117ee4528,Tacoma,WA,Pierce,98446,47.1297,-122.37423,10424,Suburban,America/Los_Angeles,Network engineer,2,87,Associate's Degree,Unemployed,48476.58,Married,Male,Yes,11.79883262,7,4,1,NA,One year,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Bank Transfer(automatic),2.051656882,242.2702756,1187.716662,6,5,3,3,3,5,5,4
2054,2054,B483014,9af8ee4e-4f97-4310-950c-acbbf80c1ceb,Casanova,VA,Fauquier,20139,38.6563,-77.6972,203,Rural,America/New_York,"Designer, graphic",1,NA,Master's Degree,Full Time,7591.68,Widowed,Female,No,9.936480664,11,2,0,NA,Two Year,Yes,No,None,Yes,Yes,No,No,No,NA,Yes,No,Yes,Credit Card (automatic),8.082833134,149.5092201,980.4160232,3,4,3,3,5,4,3,1
2055,2055,K598923,2fb855db-fe96-4468-a5e1-41a0d35efbde,Mountain Home,AR,Baxter,72653,36.34238,-92.38619,27981,Urban,America/Chicago,Dispensing optician,1,82,Bachelor's Degree,Retired,NA,Widowed,Female,No,8.097159997,8,0,0,No,Month-to-month,Yes,No,Fiber Optic,NA,Yes,No,Yes,No,No,Yes,No,No,Credit Card (automatic),NA,191.5480523,500.6893216,3,3,3,2,5,3,3,2
2056,2056,C130346,73dc76bd-cae6-4501-afa2-a2eafe8e4aad,Adair,IA,Adair,50002,41.51429,-94.64688,1460,Rural,America/Chicago,Trade union research officer,NA,29,"Some College, 1 or More Years, No Degree",Unemployed,6923.8,Separated,Male,No,8.733613691,19,1,1,NA,Two Year,No,No,None,Yes,No,No,No,Yes,NA,Yes,No,No,Credit Card (automatic),2.104985204,118.3473095,626.494018,4,3,5,3,4,4,4,2
2057,2057,A822635,19459870-1bb0-4ee8-bf7a-5f5451ed3326,Exchange,WV,Braxton,26619,38.77346,-80.73753,399,Urban,America/New_York,Music therapist,3,23,"9th Grade to 12th Grade, No Diploma",Full Time,99291.94,Married,Male,No,8.532433404,13,4,0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,Yes,No,No,No,Bank Transfer(automatic),NA,126.9362234,2130.220399,5,4,5,2,4,5,4,4
2058,2058,C230660,1a1e98e4-b9af-4efa-baad-95c40d2f229b,Sioux Center,IA,Sioux,51250,43.08426,-96.21239,8565,Urban,America/Chicago,Careers information officer,NA,44,Nursery School to 8th Grade,Full Time,NA,Married,Male,No,8.349675575,11,1,0,Yes,Month-to-month,Yes,Yes,None,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,31.32024082,105.1764858,3022.776148,3,4,2,2,2,4,3,2
2059,2059,U896725,0e230fc5-9174-434e-9515-349086f3931f,Troutdale,OR,Multnomah,97060,45.53423,-122.37027,22609,Urban,America/Los_Angeles,"Lecturer, further education",1,68,"Some College, 1 or More Years, No Degree",Part Time,NA,Married,Female,No,5.442932538,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,Yes,No,No,No,No,Yes,Mailed Check,21.03541968,102.9106115,1784.938558,2,2,2,4,3,3,3,1
2060,2060,S588320,be624656-395a-4b14-ae87-db291990e04b,Round Mountain,CA,Shasta,96084,40.85035,-121.96886,458,Suburban,America/Los_Angeles,Database administrator,2,75,Bachelor's Degree,Full Time,14987.31,Divorced,Female,Yes,13.94204501,14,1,0,No,One year,No,No,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Electronic Check,3.465896246,233.6701341,1206.219227,4,3,2,4,3,5,5,5
2061,2061,K724315,99a902fe-bb30-406f-9be5-1cb336034c56,Hurdsfield,ND,Wells,58451,47.45157,-99.95308,171,Rural,America/Chicago,Landscape architect,NA,31,Regular High School Diploma,Full Time,54531.53,Widowed,Female,Yes,9.725650603,11,1,0,No,Month-to-month,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,12.49619764,223.2266942,2193.26463,4,5,5,2,6,3,4,3
2062,2062,E553725,6020a4dd-faaa-48d7-9af6-b5ccb46d70c9,Herndon,VA,Fairfax,20170,38.98079,-77.38035,43116,Urban,America/New_York,"Designer, exhibition/display",4,78,Master's Degree,Full Time,22067.94,Never Married,Female,No,11.78974526,14,1,0,NA,Two Year,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Mailed Check,13.63369224,215.9893107,1554.801608,5,4,5,2,4,2,3,3
2063,2063,Y997825,e5848e4c-1791-48b8-a725-ed10a8b385f8,Bloomington,IN,Monroe,47408,39.22993,-86.46447,25723,Suburban,America/Indiana/Indianapolis,Chief Technology Officer,NA,64,Regular High School Diploma,Part Time,10440.87,Separated,Female,No,6.130390614,17,3,0,No,Two Year,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Mailed Check,11.7502689,126.7170747,1485.647596,4,3,4,3,4,3,3,2
2064,2064,S197399,f4145746-a9e0-4993-8fe0-ba660ab889b2,Barrington,NJ,Camden,8007,39.86574,-75.05376,5020,Suburban,America/New_York,Psychotherapist,4,46,"Some College, 1 or More Years, No Degree",Student,38257.1,Married,Male,No,10.02817753,8,0,0,No,Month-to-month,No,Yes,None,NA,No,No,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),10.32942698,139.5611693,1400.209666,5,4,5,1,2,4,3,4
2065,2065,I962364,41b7bd3e-5104-4718-8b4c-71b8975de3f7,Leavenworth,KS,Leavenworth,66048,39.28288,-94.99412,36172,Rural,America/Chicago,"Education officer, community",1,23,No Schooling Completed,Student,8626.93,Married,Male,No,13.5907431,10,1,0,NA,Month-to-month,Yes,No,Fiber Optic,NA,Yes,Yes,No,No,No,Yes,No,No,Bank Transfer(automatic),8.33313057,172.8906705,1187.710162,3,2,3,4,5,3,4,3
2066,2066,S169323,00e2518d-d61d-4529-86a1-39ba8684a069,Losantville,IN,Randolph,47354,40.04566,-85.19697,1225,Rural,America/Indiana/Indianapolis,Architect,NA,77,Bachelor's Degree,Full Time,41169.69,Married,Male,Yes,10.57407505,12,0,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),NA,256.7314394,1968.75769,2,2,1,4,3,2,2,3
2067,2067,T504980,4c316d21-91b0-4224-8052-ffedc567f30f,South Plymouth,NY,Chenango,13844,42.61008,-75.6704,758,Suburban,America/New_York,Academic librarian,3,63,"Some College, 1 or More Years, No Degree",Full Time,NA,Never Married,Female,No,10.25813721,7,1,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Mailed Check,NA,169.7902452,2146.833629,4,4,2,2,3,4,2,2
2068,2068,K840745,465fd050-c775-4505-943b-94702c4964e8,Sparrow Bush,NY,Orange,12780,41.44432,-74.72128,2097,Rural,America/New_York,Marine scientist,NA,32,Regular High School Diploma,Full Time,NA,Never Married,Female,No,7.248649347,14,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,9.061231377,171.5087086,1172.004801,3,4,5,3,5,3,3,2
2069,2069,M410334,fba15912-2f34-4b8f-b644-f387f4bdefbd,Pendleton,KY,Henry,40055,38.49678,-85.32477,1894,Suburban,America/New_York,Data scientist,0,42,Bachelor's Degree,Full Time,47320.46,Divorced,Female,No,7.763246997,6,4,1,No,Two Year,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Credit Card (automatic),2.402086724,172.0229018,561.6005724,4,4,4,5,2,3,6,4
2070,2070,T306269,fc515254-e14c-4370-ac5c-1ad723d234cf,Nelson,WI,Buffalo,54756,44.46804,-91.94817,924,Rural,America/Chicago,Chief Executive Officer,1,46,"Some College, 1 or More Years, No Degree",Full Time,NA,Separated,Male,No,9.358588612,16,1,1,No,One year,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Yes,No,No,Electronic Check,12.85482983,140.7372779,1918.333346,4,3,4,3,5,3,2,2
2071,2071,F471155,1ff47767-2834-4b45-a15e-b6e95e677faa,Barlow,KY,Ballard,42024,37.07568,-89.05165,1179,Rural,America/Chicago,Seismic interpreter,3,55,Master's Degree,Full Time,15872.85,Separated,Female,Yes,10.47844635,15,1,0,Yes,Month-to-month,No,Yes,None,No,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,5.43048805,206.4099444,NA,4,4,4,6,2,5,5,4
2072,2072,T809859,daed61e7-ce6b-470a-acd3-96d922bec302,George West,TX,Live Oak,78022,28.25927,-98.14445,4027,Suburban,America/Chicago,Careers information officer,1,60,"Some College, 1 or More Years, No Degree",Full Time,26385.01,Widowed,Male,No,8.10656345,15,1,0,Yes,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,5.267919696,124.6065578,592.6545248,3,2,3,4,3,3,4,1
2073,2073,O506037,e07b85b4-9a62-4989-b14c-8683bb83c530,Curtis Bay,MD,Anne Arundel,21226,39.20715,-76.56282,6257,Suburban,America/New_York,"Secretary, company",1,36,"9th Grade to 12th Grade, No Diploma",Retired,30575.77,Married,Male,Yes,11.7018538,10,1,0,NA,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,No,Credit Card (automatic),NA,170.0541782,NA,5,4,4,4,2,4,5,7
2074,2074,A564348,bf0494c1-a37f-49d9-8c55-eb4d64b64503,Mc Elhattan,PA,Clinton,17748,41.15043,-77.35297,213,Rural,America/New_York,Radiation protection practitioner,0,49,Professional School Degree,Full Time,127880.97,Never Married,Female,No,15.914823,12,3,0,NA,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Electronic Check,NA,150.7331524,967.4628508,3,4,3,1,4,4,4,4
